,number_of_landmarks,approximation_error,LU_ratio
0,40,0.3042723343323343,0.26089887001887
1,60,0.29889312909312904,0.2767456487956488
2,80,0.2792597247197247,0.2958446642246642
3,100,0.275050172050172,0.3062676168276169
4,120,0.27236839715839717,0.3151345720945721
