,number_of_landmarks,approximation_error,LU_ratio
0,40,0.325184282253694,0.28879530498912853
1,60,0.3001083282730342,0.3165827486239251
2,80,0.2832827616174675,0.3375460308972073
3,100,0.27869596730067314,0.35183079946197593
4,120,0.27298501935972525,0.36479416720534363
