,number_of_landmarks,approximation_error,LU_ratio
0,40,0.3623850793650794,0.2537625396825397
1,60,0.3467612698412698,0.27661492063492066
2,80,0.3370898412698413,0.29191269841269846
3,100,0.32492603174603174,0.3095822222222222
4,120,0.3203593650793651,0.3164155555555556
