,number_of_landmarks,approximation_error,LU_ratio
0,40,0.34545142857142863,0.29166190476190473
1,60,0.33376952380952385,0.3161695238095238
2,80,0.31839619047619055,0.3380695238095238
3,100,0.3074552380952381,0.35832857142857144
4,120,0.29776095238095246,0.37122761904761903
