,number_of_landmarks,approximation_error,LU_ratio
0,40,0.2818052394771752,0.39237452308639365
1,60,0.2532982046023947,0.42749991562338313
2,80,0.2445271250435102,0.44846577994365855
3,100,0.23351679681157722,0.4659620529219147
4,120,0.22581945026784114,0.48200121747660835
