,number_of_landmarks,approximation_error,LU_ratio
0,40,0.031756854256854254,0.3796882106782107
1,60,0.02936526695526696,0.39083455988455984
2,80,0.02547352092352092,0.4037851948051948
3,100,0.021620966810966813,0.41794991341991344
4,120,0.020176681096681096,0.42684118326118325
