,number_of_landmarks,approximation_error,LU_ratio
0,40,0.13244511044511076,0.3644695593295596
1,60,0.11142928182928209,0.39725762015762045
2,80,0.09928095571095591,0.41886871683871696
3,100,0.09421784437784456,0.43346960372960386
4,120,0.09197744033744049,0.4393877711177711
