,number_of_landmarks,approximation_error,LU_ratio
0,40,0.04926,0.41184190476190474
1,60,0.03932666666666666,0.4359790476190476
2,80,0.03331333333333333,0.4675952380952381
3,100,0.02971333333333333,0.48754190476190473
4,120,0.02696,0.5048952380952381
