,number_of_landmarks,approximation_error,LU_ratio
0,40,0.1196935108499442,0.4631618333805977
1,60,0.1100947304693092,0.48978400989975573
2,80,0.09886948639049838,0.5028037665790983
3,100,0.09652155360627765,0.5144662320691179
4,120,0.08867000770174023,0.5322059996156707
