,number_of_landmarks,approximation_error,LU_ratio
0,40,0.13538666666666668,0.3735133333333333
1,60,0.11608,0.4141666666666667
2,80,0.10002,0.4441866666666666
3,100,0.09008666666666668,0.4633466666666667
4,120,0.08208,0.48141999999999996
